epoch,dis_loss,dis_acc,g_loss,p@1
0,-,-,-,0.0
1,0.46866,0.88795,1.57004,0.00067
2,0.41347,0.94492,1.89184,0.00467
3,0.40761,0.95120,1.93629,0.22467
4,0.41434,0.94313,1.91117,0.47933
5,0.41807,0.93924,1.90969,0.56733
6,0.40770,0.95059,1.97879,0.58333
7,0.39949,0.95897,2.02380,0.58000
8,0.39007,0.96848,2.07814,0.57667
9,0.38425,0.97426,2.11001,0.55800
10,0.38103,0.97678,2.13001,0.49933
11,0.37713,0.98032,2.15487,0.50800
12,0.37626,0.98046,2.15584,0.56933
13,0.37933,0.97805,2.14965,0.62200
14,0.37374,0.98291,2.17331,0.62467
15,0.37016,0.98591,2.19503,0.62467
16,0.36825,0.98723,2.20227,0.62733
17,0.36624,0.98857,2.21349,0.64667
18,0.36481,0.98991,2.22326,0.61333
19,0.36342,0.99075,2.23417,0.56000
20,0.36260,0.99149,2.24394,0.53600
21,0.36077,0.99260,2.24683,0.53733
22,0.35980,0.99324,2.25363,0.53067
23,0.35912,0.99361,2.25713,0.51400
24,0.35879,0.99352,2.25631,0.49933
25,0.35952,0.99327,2.25851,0.47400
26,0.35922,0.99330,2.26439,0.46600
27,0.35791,0.99420,2.27188,0.47000
28,0.35698,0.99482,2.27806,0.47000
29,0.35512,0.99577,2.28243,0.49333
30,0.35456,0.99584,2.29105,0.48867
31,0.35471,0.99568,2.29115,0.54867
32,0.35472,0.99560,2.29064,0.56067
33,0.35620,0.99468,2.27631,0.56333
34,0.35519,0.99527,2.28486,0.54067
35,0.35370,0.99589,2.29263,0.53133
36,0.35319,0.99618,2.29859,0.54267
37,0.35192,0.99673,2.30044,0.52733
38,0.35142,0.99698,2.30115,0.52400
39,0.35046,0.99729,2.31425,0.52000
40,0.35025,0.99750,2.30889,0.55267
